,category,product,Original_price,price,perc_of_unit_sold,rating,shpping_rate,gender
13,Eyewear,Ray Ban Classic Aviator Gold Unisex Sunglasses - Rb3025 -58-14-135,850.0,419.0,54.0,78.0,FREE Shipping,Unisex
14,Eyewear,"Ray Ban 3025, W3234 (55 mm) Sunglass, Green Lens, Aviator Frame, For Men",750.0,385.46,29.0,78.0,FREE Shipping,men
15,Eyewear,Ray-Ban Aviator Unisex Sunglasses - RB3025-004-58-58,900.0,517.15,2.0,80.0,FREE Shipping,Unisex
16,Eyewear,"Ray Ban 4165, 710/13 (51 mm) Sunglass, Brown Lens, Rectangular Frame",690.0,311.99,80.0,,FREE Shipping,
17,Eyewear,"Polaroid Sunglasses , for Women , Mixed , Aviator Lens Shape - Pld 2043/S-80761M9",201.0,129.49,22.0,60.0,Eligible for FREE Shipping,women
18,Eyewear,"Polaroid Sunglasses For Unisex, Green- Pld 1017/S 2276393Yg60H8, Oval Frame",250.0,131.48,19.0,90.0,Eligible for FREE Shipping,Unisex
19,Eyewear,"Carrera Aviator Men's Sunglasses - Carrera 113/S -003-57-17-145-QT, 145 mm Green",750.0,268.49,31.0,92.0,FREE Shipping,men
20,Eyewear,"Polaroid Sunglass for Men , Grey Lens , PLD 2059/S 003 60",280.0,150.49,42.0,100.0,Eligible for FREE Shipping,men
21,Eyewear,Polaroid P4139 Aviator Sunglasses,350.0,131.48,10.0,80.0,Eligible for FREE Shipping,
22,Eyewear,"Ray Ban Aviator Sunglasses For Unisex - Brown Gradient Lens, Rb4147/710/51, 60-15-145, 145 mm",945.0,384.49,70.0,88.0,FREE Shipping,Unisex
23,Eyewear,"Ray-Ban Aviator Sunglasses For Men - Rb3449-003/8G 59, Grey Lens",770.0,464.49,99.0,86.0,FREE Shipping,men
24,Eyewear,Ray-Ban Sunglasses for Unisex -0RB3552i,614.0,276.49,85.0,68.0,FREE Shipping,Unisex
25,Eyewear,Carrera Carrera 126/S QGGHD (Black - Gun with Grey Gradient lenses),750.0,373.49,35.0,90.0,FREE Shipping,
26,Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3449-001/1359, Brown Lens",1014.0,427.98,89.0,86.0,FREE Shipping,Unisex
27,Eyewear,"Esprit Women's Sunglasses - Brown Frame,Brown Gradient Lens- ET19461/535, size 56-16-142",336.0,143.99,92.0,92.0,Eligible for FREE Shipping,women
28,Eyewear,CARRERA Men's Sunglasses Rectangular 130/S - Gold,750.0,264.99,50.0,86.0,FREE Shipping,men
29,Eyewear,Ray-Ban Wrap Sunglasses for Men - RB3183-63-15-125,690.0,469.98,73.0,82.0,FREE Shipping,men
30,Eyewear,"Ray Ban Rectangle Sunglasses For Men - Gray Lens, Rb4179-601S82, 140 mm",1680.0,884.49,62.0,92.0,FREE Shipping,men
31,Eyewear,"Carrera Aviator Sunglasses for Unisex , 8010/S-R80-59-12-140-WJ",525.0,228.98,89.0,82.0,FREE Shipping,Unisex
32,Eyewear,"Ray Ban Sunglasses for Men - Size 55, Black Frame, 0RB4165 622 2V55",820.0,584.99,43.0,86.0,FREE Shipping,men
33,Eyewear,CARRERA Men's Sunglasses Round Carrera 126/S Shnblckgd,750.0,350.98,65.0,80.0,FREE Shipping,men
34,Eyewear,"Ray-Ban Sunglasses for Men, Black, 3548N",1286.0,576.99,78.0,98.0,FREE Shipping,men
35,Eyewear,"Polaroid Sunglasses for Men, Black- PLD 7005/S 223783YYV63RC",250.0,134.99,94.0,94.0,Eligible for FREE Shipping,men
36,Eyewear,Ray-Ban Rb3025-002/58 Aviator Unisex Sunglasses,985.0,299.0,,84.0,,Unisex
37,Eyewear,"Ray-Ban Junior Unisex's 0RB3647N 90683F 51 Sunglasses, Transparent/Clear Gradient Blue",820.0,470.99,40.0,92.0,FREE Shipping,Unisex
38,Eyewear,"Ray-Ban Sunglasses For Unisex, Grey, 3647N, Round Frame",850.0,444.99,33.0,100.0,FREE Shipping,Unisex
39,Eyewear,"Ray Ban Aviator Sunglasses for Unisex - Green Lens, RB3025 55 W3234",1039.5,444.49,60.0,96.0,FREE Shipping,Unisex
40,Eyewear,"Ray-Ban Unisex Aviator Sunglasses [Rb3025 112/85], 55-14-135, Brown Lens",1014.0,460.7,71.0,90.0,FREE Shipping,Unisex
41,Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3025-001-58 58, Green Lens",970.0,200.0,20.0,80.0,,Unisex
42,Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3025 001-57, Brown Lens",1040.0,463.0,65.0,80.0,FREE Shipping,Unisex
43,Eyewear,"Ray-Ban RB1971 91493F Square Sunglasses for Unisex , Lens 54 mm",997.0,444.99,21.0,,FREE Shipping,Unisex
44,Eyewear,Ray Ban Clubmaster Unisex Sunglasses - RB3016W036-W0365 - 51-50 -25-145 mm,870.0,535.98,50.0,88.0,FREE Shipping,Unisex
45,Eyewear,"Carrera Sunglasses for Unisex Aviator- Grey Lens,  132/S 2M2",765.0,325.49,47.0,86.0,FREE Shipping,Unisex
46,Eyewear,"Carrera Sunglasses for Men , Grey Lenses",700.0,322.98,53.0,,FREE Shipping,men
47,Eyewear,"Polaroid Sunglasses For Men, Multi Color, Pld 2043-S00361Lm, Aviator Frame",250.0,121.49,32.0,88.0,Eligible for FREE Shipping,men
48,Eyewear,"Ray-Ban Sunglasses For Men - Grey, 3553I, 59, 6, 8G",525.0,282.99,98.0,86.0,FREE Shipping,men
49,Eyewear,Lacoste Rectangular Sport Inspired Matte Khaki Sunglasses For Men 54-19-145mm,547.0,281.48,56.0,100.0,FREE Shipping,men
50,Eyewear,Ray-Ban Aviator Unisex's Sunglasses - RB3647N-001/9U-51 - 51-22-145 mm,900.0,503.49,37.0,94.0,FREE Shipping,Unisex
51,Eyewear,"Emporio Armani Rectangle Sunglasses for Men , Grey Lenses , 8053672481389",890.0,516.48,50.0,100.0,FREE Shipping,men
52,Eyewear,"Tom Ford Men's Sunglasses Aviator Marley, Black/Blue",1256.0,557.49,56.0,90.0,FREE Shipping,men
53,Eyewear,"Ray-Ban Sunglasses for Unisex, Brown, 3647N",900.0,473.98,23.0,96.0,FREE Shipping,Unisex
54,Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3025-001/58-62 - 62-14-140 mm , Polarized Lens",980.0,180.0,60.0,88.0,,Unisex
55,Eyewear,"Ray Ban 3025,58,167,2K Sunglasses For Unisex-Gold",850.0,473.98,30.0,80.0,FREE Shipping,Unisex
56,Eyewear,"Ray-Ban 0rb3647n Non-Polarized Iridium Round Sunglasses, Gold, 51 mm",1270.0,603.98,18.0,100.0,FREE Shipping,
57,Eyewear,Polaroid P4139 Sunglasses,350.0,98.0,,90.0,,
58,Eyewear,"U.S. Polo Assn. Sunglasses For Men - Brown, 711 BRN",240.0,127.48,84.0,90.0,Eligible for FREE Shipping,men
59,Eyewear,"Ray-Ban Sunglasses For Unisex, Size 55, Brown, 3025, 55, 004, 51, 55-14-135, Aviator Frame",709.0,441.99,12.0,92.0,FREE Shipping,Unisex
60,Eyewear,"Polaroid Sunglasses for Women, Black- PLD 4049/S 807",450.0,145.98,65.0,100.0,Eligible for FREE Shipping,women
61,Eyewear,"Ray-Ban Square Sunglasses for Men , Green , RB2140F 901 54",910.0,444.49,33.0,,FREE Shipping,men
62,Eyewear,Polaroid Wayfarer Men's Sunglasses - PLD 2056/S 00358M9,250.0,129.99,47.0,78.0,Eligible for FREE Shipping,men
63,Eyewear,Lacoste Men's Sunglasses Rectangular Petit Pique Black,793.0,442.48,50.0,20.0,FREE Shipping,men
64,Eyewear,"Emporio armani Wayfarer Sunglassese for Women , Grey Lens , B00G8VTQ64",1119.0,539.98,33.0,,FREE Shipping,women
65,Eyewear,"Calvin Klein Round Sunglasses for Men - Blue lens, CK18104S-045",890.0,426.49,83.0,100.0,FREE Shipping,men
66,Eyewear,"Emporio Armani Sunglasses For Men - Multi Color, 4115-56691W-54, Square Frame",730.0,367.49,66.0,90.0,FREE Shipping,men
67,Eyewear,Ray-Ban Pilot Sunglasses for Men - 3386-63-004-13,1129.8,493.98,56.0,98.0,FREE Shipping,men
68,Eyewear,"Calvin Klein Cat Eye Sunglasses for Women - Black Lens, CK3206S-001",950.0,455.98,,,FREE Shipping,women
69,Eyewear,"Emporio Armani Square Sunglasses For Men - Blue, EA4117 570380 57",780.0,359.49,,60.0,FREE Shipping,men
70,Eyewear,"Ray-Ban Sunglasses Unisex , Lense Size 54 mm , Brown",997.0,503.49,2.0,,FREE Shipping,Unisex
71,Eyewear,"Polaroid Sunglasses For Men Pld 1016/Sdl550Lb, Dark Green Lens, Square Frame",200.0,134.99,51.0,60.0,Eligible for FREE Shipping,men
72,Eyewear,"Ray-Ban Classic Aviator Unisex Sunglasses - Rb3025-112-58-19-135, Green Lens",1134.0,440.29,13.0,88.0,FREE Shipping,Unisex
73,Eyewear,"Polaroid Sunglasses for Men , Grey Lenses",450.0,168.99,22.0,,Eligible for FREE Shipping,men
74,Eyewear,"Carrera Sunglasses For Unisex, Gold Lens, Carrera1005/S, Aviator Frame",560.0,350.98,17.0,100.0,FREE Shipping,Unisex
75,Eyewear,"Ray-Ban RB1971 914731 Square Sunglasses for Unisex , Lens 54 mm",997.0,415.49,52.0,90.0,FREE Shipping,Unisex
76,Eyewear,"Sunglasses For Unisex By Ray-Ban, Metal, Gold, Rb3025 001 62, Green Lens, Panto Frame",658.0,385.46,59.0,74.0,FREE Shipping,Unisex
77,Eyewear,"Polaroid Sunglass for Men , Black Lens , PLD 2069/F/S/X 807 61",280.0,140.98,56.0,100.0,Eligible for FREE Shipping,men
78,Eyewear,Ray-Ban Aviator Unisex Sunglasses - RB3025 001/33 58,977.0,415.49,57.0,90.0,FREE Shipping,Unisex
79,Eyewear,"Polaroid Men's PLD 2017/S Y2 KJ1 62 Sunglasses, Dark Ruthenium/Grey Pz",250.0,144.48,52.0,82.0,Eligible for FREE Shipping,men
80,Eyewear,"Polaroid Sunglassess for Men, Grey- PLD 1015/S D28/Y2,Rectangle Shape",250.0,113.99,57.0,90.0,Eligible for FREE Shipping,men
81,Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3025-W0879-58-14-135, Green Lens",945.0,302.98,96.0,80.0,FREE Shipping,Unisex
82,Eyewear,"Ray Ban Sunglasses For Unisex, Brown, 0Rb4340 710/5150, Square Frame",1130.0,445.99,,,FREE Shipping,Unisex
83,Eyewear,"Ray Ban Sunglasses, Unisex, Black, 4253, 50, 601, 71, Round Frame",850.0,534.99,55.0,84.0,FREE Shipping,Unisex
84,Eyewear,"Polaroid Sunglasses for Unisex, Grey- PLD 1017/S 22763900358WJ",250.0,125.99,55.0,100.0,Eligible for FREE Shipping,Unisex
85,Eyewear,Polaroid Unisex Round Sunglasses - PLD 2053/S 80751M9,250.0,134.99,36.0,94.0,Eligible for FREE Shipping,Unisex
86,Eyewear,"Polaroid Cat Eye Women's Sunglasses - Pld 4066/S 08657La, Brown Lens",250.0,123.98,33.0,80.0,Eligible for FREE Shipping,women
87,Eyewear,"Carrera Sunglasses for Unisex - Black Lens,  1005/S TI7",750.0,305.98,56.0,100.0,FREE Shipping,Unisex
88,Eyewear,"Carrera Sunglasses For Unisex - Black Lens, 1011/S, Grey Lens, Square Frame",750.0,716.98,66.0,94.0,FREE Shipping,Unisex
89,Eyewear,"Polaroid Sunglasses For Unisex, Black- Pld 2054/S-003 M9, Square Frame",250.0,168.99,96.0,78.0,Eligible for FREE Shipping,Unisex
90,Eyewear,Polaroid PLD 4062/S/X BLACK/GREY women Sunglasses,250.0,159.48,18.0,90.0,Eligible for FREE Shipping,women
91,Eyewear,"Polaroid Sunglasses For Unisex Pld 2061/S00350M9, Grey Lens, Panto Frame",250.0,179.49,52.0,56.0,Eligible for FREE Shipping,Unisex
92,Eyewear,"Polaroid  Aviator Sunglasses For Unisex  - Multi Color , PLD 6012/N",350.0,119.49,62.0,76.0,Eligible for FREE Shipping,Unisex
93,Eyewear,"Polaroid Sunglasses For Unisex, Grey Lens, Pld6063/G/S, Oval Frame",250.0,112.49,73.0,100.0,Eligible for FREE Shipping,Unisex
94,Eyewear,"Polaroid Aviator Sunglasses for Unisex, Silver",750.0,168.99,82.0,80.0,Eligible for FREE Shipping,Unisex
95,Eyewear,"Alexander McQueen - AM0037S, Geometric, acetate, men, HAVANA/GREY(003 D), 56/0/0",1496.0,792.98,,,FREE Shipping,men
96,Eyewear,"Arnette Men's Booger Non-Polarized Iridium Rectangular Sunglasses, Matte Black, 61 mm",449.0,316.98,,100.0,FREE Shipping,men
97,Eyewear,"Vogue Sunglasses for Women - Size 54, Blue Frame, 0VO2990S 23254854",714.0,296.98,,60.0,FREE Shipping,women
98,Eyewear,"Ray-Ban Sunglasses for Man , Lens Color Dark Green , 0RB3654 60 002/71",1060.0,459.48,,,FREE Shipping,
99,Eyewear,"G-Star Unisex Square Sunglasseses - GS651S-214 5417, 150 mm, Blue Gradient",1050.0,296.98,25.0,,FREE Shipping,Unisex
100,Eyewear,Marc Jacobs Cat Eye Sunglasses for Unisex - Purple Lens,850.0,311.99,,,FREE Shipping,Unisex
101,Eyewear,Arnette AN 4185 2361/6Q Slickster - Matte Stone Washed Copper/Red by Arnette for Men - 58-16-145 mm,390.0,180.48,50.0,40.0,Eligible for FREE Shipping,men
102,Eyewear,"Polaroid Sunglasses for Unisex , Blue",250.0,149.98,85.0,,Eligible for FREE Shipping,Unisex
103,Eyewear,"Miu Miu Rimless Women's Sunglasses - 56Ts-Xej1A1 - 63 mm, Black Lens",2000.0,976.98,50.0,100.0,FREE Shipping,women
104,Eyewear,"Ray-Ban Aviator Men's Sunglasses - Rb 3549-002/T3 - 61-16-145 mm, Grey Lens",1000.0,453.99,90.0,80.0,FREE Shipping,men
105,Eyewear,Ray-Ban Aviator Unisex Sunglasses - Rb3025-019/Z258,855.0,473.98,3.0,90.0,FREE Shipping,Unisex
106,Eyewear,"Salvatore Ferragamo Women's Sunglasses - Sf879S-213 53, 150 mm, Black Lens, Square Frame",1490.0,478.49,,,FREE Shipping,women
107,Eyewear,"Ray-Ban Men's Injected Man Sunglass Non-Polarized Iridium Round, SHINY RED HAVANA 51 mm",945.0,409.49,12.0,,FREE Shipping,men
108,Eyewear,"Gucci Oval Unisex Sunglasses - Gg0124Sa00152 - 52-21-150 mm, Grey Lens",1619.0,1015.49,26.0,60.0,FREE Shipping,Unisex
109,Eyewear,"Ray-Ban Erika Unisex Sunglasses - 4243 6225/19 49, Blue Lens",720.0,312.98,12.0,80.0,FREE Shipping,Unisex
110,Eyewear,"Ray-Ban Wayfarer Unisex Clubmaster Sunglasses - Rb3016-W0366-51-21-145, Green Lens",1084.0,435.98,68.0,90.0,FREE Shipping,Unisex
111,Eyewear,"Ray Ban Unisex Sunglasses - 3025, 58, 004/78, Grey Lens, Aviator Frame",1065.0,478.49,33.0,100.0,FREE Shipping,Unisex
112,Eyewear,"Ray-Ban Round Unisex Sunglasses - 4257 6092/55 53, Blue Lens",890.0,385.49,12.0,80.0,FREE Shipping,Unisex
113,Eyewear,"Ray-Ban Clubmaster Unisex Sunglasses - 3016 1145/17 49, Blue Lens",890.0,385.49,60.0,100.0,FREE Shipping,Unisex
114,Eyewear,CARRERA Men's Sunglasses Aviator Carrera 1005/S Whit Gold,800.0,716.98,26.0,88.0,FREE Shipping,men
115,Eyewear,Guess GU 7563,669.0,326.49,57.0,20.0,FREE Shipping,
116,Eyewear,"Fendi Sunglasses For Women, Alloy, Pink, Ff 0177/S 0J, Cat Eye Frame",1250.0,473.49,40.0,96.0,FREE Shipping,women
117,Eyewear,"Ray-Ban Clubmaster Women's Sunglasses - Rb4256-609255-49 - 49-20-145, Blue Lens",662.0,385.49,,84.0,FREE Shipping,women
118,Eyewear,"Gucci Oval Unisex Sunglasses - Gg0124S00450 - 50-22-145 mm, Brown Lens",1619.0,954.48,20.0,74.0,FREE Shipping,Unisex
119,Eyewear,"Polaroid Kids' PLD 8016/N K7 SED Sunglasses, Havana Green Grey Speckled Pz, 48",250.0,109.0,87.0,78.0,Eligible for FREE Shipping,
120,Eyewear,"Ray-Ban Erika Unisex Sunglasses - 4258 6230/7J 50, Pink Lens",840.0,360.99,,,FREE Shipping,Unisex
121,Eyewear,"Ray-Ban Men's Aviator Large Metal Aviator Sunglasses, Gold (Frames: gold Glass: Course light blue 001/3F), 58 mm",802.0,358.98,72.0,86.0,FREE Shipping,men
122,Eyewear,"Ray-Ban Men's Injected Man Sunglass Polarized Iridium Rectangular, BLACK 64 mm",1115.0,482.49,54.0,100.0,FREE Shipping,men
123,Eyewear,Occhiali da Sole 8687 METALLO,1200.0,679.49,33.0,80.0,FREE Shipping,
124,Eyewear,"Ray-Ban Wayfarer Unisex Sunglasses - Rb4210-646/3R50, Green Lens",1310.0,505.98,20.0,,FREE Shipping,Unisex
125,Eyewear,"Ray-Ban Sunglasses For Men, Size 51 mm, 4246, 51, 990, N.C, Green Lens, Round Frame",790.0,443.49,14.0,84.0,FREE Shipping,men
126,Eyewear,"Just Cavalli Cat Eye Women's Sunglasses - JC759S - 52-20-140mm, Grey",625.0,237.98,,80.0,FREE Shipping,women
127,Eyewear,"Ray-Ban Butterfly Unisex Sunglasses - 4250 6034/2Y 52, Beige Lens",1170.0,505.98,16.0,,FREE Shipping,Unisex
128,Eyewear,"Ray-Ban Unisex's Rb4075 Sunglasses, Tortoise, 61",1169.0,457.99,10.0,100.0,FREE Shipping,Unisex
129,Eyewear,"Ray-Ban Men's 0RB4346 Sunglasses, Negro, 51",1170.0,360.99,63.0,100.0,FREE Shipping,men
130,Eyewear,"Flamingo Rectangle Sunglasseses For Unisex,Plastic,Blue",279.0,78.49,55.0,,Eligible for FREE Shipping,Unisex
131,Eyewear,"Arnette Sunglasses, Square, For Women, Grey, 0An4243 25226G 60",400.0,201.48,14.0,,FREE Shipping,women
132,Eyewear,"Puma Sunglass For Men - Pu0016S_005, Blue Lens, Square Frame",365.0,151.48,37.0,70.0,Eligible for FREE Shipping,men
133,Eyewear,"Arnette Sunglasses, Square, For Women, Grey, 0An4243 252181 60",500.0,250.98,,,FREE Shipping,women
134,Eyewear,"Calvin Klein Square Sunglasseses for Unisex , Grey ,  CKJ818S",950.0,234.99,20.0,60.0,FREE Shipping,Unisex
135,Eyewear,"Ray-Ban Round Sunglasses For Unisex - Brown, 4296, 51, 6331, 83",1060.0,453.99,,,FREE Shipping,Unisex
136,Eyewear,"Oakley Round Sunglasses For Men, Silver, 0OO9265 92652153",1000.0,402.99,,,FREE Shipping,men
137,Eyewear,"Ray-Ban Aviator Unisex Sunglasses - 3540 198/9U 56, Blue Lens",950.0,409.49,,,FREE Shipping,Unisex
138,Eyewear,"Ray-Ban Half Frame Unisex Sunglasses - 4280 6289/B7 55, Blue Lens",994.0,505.98,14.0,100.0,FREE Shipping,Unisex
139,Eyewear,"Ray-Ban Butterfly Unisex Sunglasses - 4250 671/55 52, Blue Lens",1170.0,505.98,,,FREE Shipping,Unisex
140,Eyewear,"Bottega Veneta Sunglasses For Unisex, Bv0013S-001-59, Brown Lens, Round Frame",2094.0,1175.99,14.0,,FREE Shipping,Unisex
141,Eyewear,"Ray-Ban Aviator Men's Sunglasses - Rb 3560-004/51 - 61-17-145 mm, Brown Lens",840.0,382.99,53.0,74.0,FREE Shipping,men
142,Eyewear,"Ray Ban Sunglasses For Unisex, Rb3025 001/51 58-14, Brown Lens, Aviator Frame",770.0,397.97,89.0,86.0,FREE Shipping,Unisex
143,Eyewear,"Guess Cat Eye Women's Sunglasses - Gu7485-56F-51 - 51-25- 135 mm, Brown Lens",600.0,170.49,83.0,100.0,Eligible for FREE Shipping,women
144,Eyewear,"Guess By Marciano Cat Eye Women's Sunglasses - Gm0751 - 56-17-135 mm, Grey Lens",630.0,243.99,16.0,,FREE Shipping,women
145,Eyewear,Sunglasses Diane von Furstenberg DVF 143 S FIONA 237 DARK TORTOISE,594.0,211.98,,,FREE Shipping,
146,Eyewear,"Ray-Ban Clubmaster Women's Sunglasses - Rb4256-60926G-49 - 49-20-145, Grey Lens",562.0,385.49,14.0,100.0,FREE Shipping,women
147,Eyewear,"Ray-Ban Sunglasses For Unisex, Gold, 3538, Square Frame",880.0,409.49,33.0,100.0,FREE Shipping,Unisex
148,Eyewear,"Ray-Ban Sunglasses For Unisex, 0Rb3578 186/B150, Multi Color Lens, Round Frame",1110.0,409.49,,100.0,FREE Shipping,Unisex
149,Eyewear,Ray-Ban Rectangle Unisex Sunglasses - 3538 189/55 53,950.0,409.49,33.0,,FREE Shipping,Unisex
150,Eyewear,"Oakley Men's Crossrange Sunglasses, Matte Black W/Prizm Black Polarized, 57",1100.0,558.99,16.0,100.0,FREE Shipping,men
151,Eyewear,"Ray-Ban Square Unisex Sunglasses - 4258 6231/1N 50, Blue Lens",840.0,360.99,22.0,,FREE Shipping,Unisex
152,Eyewear,"Ray-Ban Clubmaster Women's Sunglasses - Rb2183-1127B9-53 - 53 -21 -145 mm, Pink Lens",970.0,433.48,,100.0,FREE Shipping,women
153,Eyewear,"Ray-Ban Round Unisex Sunglasses - Rb2447-116049, Brown Lens",1061.0,360.99,85.0,74.0,FREE Shipping,Unisex
0,Perfumes & Fragrances,"Calvin Klein Euphoria for Women - Eau de Parfum, 100ml",357.0,111.21,77.0,90.0,Eligible for FREE Shipping,women
1,Perfumes & Fragrances,"Lattafa Pure Musk for Unisex - Eau de Parfum, 100ml",55.0,32.39,64.0,86.0,Eligible for FREE Shipping,Unisex
2,Perfumes & Fragrances,"Davidoff Cool Water for Women - Eau de Toilette, 100ml",279.0,65.1,76.0,88.0,Eligible for FREE Shipping,women
3,Perfumes & Fragrances,"GUESS Marciano for Men - Eau de Toilette, 100ml",273.0,69.9,25.0,78.0,Eligible for FREE Shipping,men
4,Perfumes & Fragrances,"Guess by Marciano for Women - Eau de Parfum, 100ml",147.0,67.41,67.0,86.0,Eligible for FREE Shipping,women
5,Perfumes & Fragrances,"Guess Seductive Homme for Men - Eau de Toilette, 100ml",289.0,73.12,84.0,82.0,Eligible for FREE Shipping,men
6,Perfumes & Fragrances,"Roberto Cavalli For Women - Eau de Parfum, 75ml",525.0,105.22,75.0,88.0,Eligible for FREE Shipping,women
7,Perfumes & Fragrances,"United Colors Of Benetton Hot for Women - Eau de Toilette, 100ml",79.0,26.54,67.0,86.0,Eligible for FREE Shipping,women
8,Perfumes & Fragrances,"Guess Girl for Women - Eau de Toilette, 100ml",263.0,71.95,77.0,86.0,Eligible for FREE Shipping,women
9,Perfumes & Fragrances,"Calvin Klein Beauty for Women - Eau de Parfum, 100ml",357.0,84.98,97.0,86.0,Eligible for FREE Shipping,women
10,Perfumes & Fragrances,"Roberto Cavalli Nero Assoluto for Women - Eau de Parfum, 75ml",210.0,103.37,49.0,86.0,Eligible for FREE Shipping,women
